id,birthY,gender,nationality,label
9004,1596,1,清,月庵潔
9005,1596,1,清,石樵玘
9006,1596,1,清,南野纘
9007,1596,1,清,鐵山基
9008,1596,1,清,道隆𤪳
9009,1610,1,清,智中超沅
9010,1596,1,清,紫芝有
9011,1596,1,清,冶翁伯
9012,1596,1,清,子固方
9013,1596,1,清,生白虗
9014,1596,1,清,祖建承
9015,1607,1,清,氷鑑真
9016,1607,1,清,雲靉宗
9017,1607,1,清,野關賢
9018,1596,1,清,懶雲學
9019,1596,1,清,霞起超晙
9020,1596,1,清,閩雪吼
9021,1596,1,清,毒山傑
9022,1596,1,清,瞿目頂
9023,1596,1,清,吼巖獅
9024,1596,1,清,古月楨
9025,1594,1,清,崇化達
9026,1594,1,清,慧光聖
9027,1594,1,清,慧燈智
9028,1594,1,清,佛舟隆
9029,1594,1,清,純徹弘
9030,1622,1,清,鍵畿銓
9031,1622,1,清,餐顥西
9032,1622,1,清,颿庵順
9033,1622,1,清,紀安大經
9034,1637,1,清,念予恒
9035,1606,1,清,壽山琦
9036,1609,1,清,雪兆果性
9037,1613,1,清,虎堂福
9038,1613,1,清,彝峰一
9039,1613,1,清,絳山莘
9040,1613,1,清,斷峰真
9041,1613,1,清,含白徹
9042,1613,1,清,竺文憲
9043,1611,1,清,如如極
9044,1611,1,清,覺興隆
9045,1611,1,清,始如慎
9046,1596,1,清,雪霽睿
9047,1596,1,清,魯庵性
9048,1596,1,清,頴鋒展
9049,1596,1,清,漢雷音
9050,1596,1,清,新逸微
9051,1596,1,清,芝山觀
9052,1596,1,清,景雲瑞
9053,1596,1,清,孤峻極
9054,1596,1,清,太虗廣
9055,1612,1,清,殊貫德
9056,1612,1,清,恒遠一
9057,1612,1,清,忍菴信宗
9058,1612,1,清,雲平我
9059,1612,1,清,德涵讓
9060,1612,1,清,雨平定
9061,1612,1,清,印持敬
9062,1612,1,清,平林旭
9063,1612,1,清,瑞平毓
9064,1612,1,清,樸庵樸
9065,1612,1,清,瑞庵濟
9066,1612,1,清,瑞旭容
9067,1612,1,清,馬明凞
9068,1612,1,清,周亮
9069,1612,1,清,李泰然
9070,1596,1,清,靈谿源
9071,1611,1,清,孤月朗
9072,1611,1,清,麗光楚
9073,1611,1,清,蜀叟古
9074,1596,1,清,松吼雷
9075,1596,1,清,月嶠閒
9076,1596,1,清,泉石隱
9077,1596,1,清,寒木林
9078,1596,1,清,佛髻頂
9079,1596,1,清,草堂秀
9080,1595,1,清,辯言海
9081,1632,1,明 清,子成傳遂
9082,1613,1,清,綠雨蕉
9083,1604,1,清,笑玉禪
9084,1604,1,清,黃蘗嵓
9085,1604,1,清,亦葦岸
9086,1604,1,清,現幡隱
9087,1604,1,清,訥菴辯
9088,1624,1,清,南山𥌓
9089,1610,1,清,香林淨
9090,1604,1,清,博庵仁
9091,1604,1,清,蘇羣澍
9092,1604,1,清,僧一珤
9093,1604,1,清,山痴猊
9094,1604,1,清,南源信
9095,1604,1,清,伯嶽惺
9096,1614,1,清,庚水西
9097,1614,1,清,等慈悲
9098,1617,1,清,張無跡
9099,1619,1,清,藪庵願
9100,1619,1,清,梓昌英
9101,1614,1,清,秀山成
9102,1616,1,清,萬休靜
9103,1616,1,清,純素白
9104,1616,1,清,容舒申
9105,1616,1,清,汾雪
9106,1623,1,清,不器珏
9107,1616,1,清,澂徹
9108,1598,1,清,起化弘
9109,1608,1,清,象巖峻
9110,1608,1,清,月江本印
9111,1608,1,清,首賢本立
9112,1608,1,清,仲孚本䖍
9113,1608,1,清,雪凱本珍
9114,1608,1,清,同文本蔚
9115,1608,1,清,天山本定
9116,1608,1,清,默可本符
9117,1608,1,清,一燈燦
9118,1608,1,清,道謙殷
9119,1609,1,清,雪舲中
9120,1609,1,清,石舲本萃
9121,1609,1,清,破有本宣
9122,1609,1,清,碎塵本鏗
9123,1609,1,清,子愚本玄
9124,1609,1,清,樸倫本樹
9125,1609,1,清,寄幻本遵
9126,1609,1,清,瑞參本釉
9127,1609,1,清,冰履淨堅
9128,1609,1,清,鐵䑳本煛
9129,1609,1,清,規普本範
9130,1609,1,清,彌映本道
9131,1609,1,清,六恒
9132,1608,1,清,大石來洪
9133,1608,1,清,璞崖來淳
9134,1608,1,清,自真清修
9135,1607,1,清,深極
9136,1607,1,清,深知
9137,1607,1,清,深皜
9138,1607,1,清,劉醇驥
9139,1594,1,清,方谷蕙
9140,1614,1,清,道昌桂
9141,1614,1,清,祝峰善
9142,1610,1,明 清,夢堂真倪
9143,1591,1,清,法海洪一
9144,1591,1,清,法明淇聞
9145,1591,1,清,彌庵洪漢
9146,1591,1,清,德雲洪眾
9147,1591,1,清,月面洪所
9148,1591,1,清,道庵洪南
9149,1591,1,清,普門廣衢
9150,1615,1,清,必成尊
9151,1615,1,清,德一
9152,1615,1,清,鶴林德茂
9153,1615,1,清,德明
9154,1615,1,清,裕之滌
9155,1615,1,清,智柏容
9156,1626,1,清,德璨
9157,1626,1,清,德現
9158,1626,1,清,德麟
9159,1626,1,清,德聖
9160,1626,1,清,德泰
9161,1626,1,清,德潤
9162,1626,1,清,德玉
9163,1637,1,清,孤朗輝
9164,1637,1,清,彥倫先
9165,1637,1,清,麗嚴瑞
9166,1637,1,清,舌鋒德劍
9167,1637,1,清,與菴德修
9168,1637,1,清,郢雪德亮
9169,1637,1,清,弘徹德唯
9170,1637,1,清,魯璠玉
9171,1637,1,清,玉楷珪
9172,1637,1,清,如旻謙
9173,1637,1,清,慈潤善
9174,1637,1,清,聖峰真
9175,1637,1,清,翼駒順
9176,1637,1,清,別瀾德泓
9177,1637,1,清,淡峰德奇
9178,1637,1,清,御賓德惠
9179,1637,1,清,穆菴德然
9180,1637,1,清,琡菴德玉
9181,1637,1,清,躍峰德端
9182,1637,1,清,惺野德到
9183,1637,1,清,指禪德空
9184,1637,1,清,朝野德聞
9185,1637,1,清,友嵩德繼
9186,1637,1,清,曇燁德明
9187,1637,1,清,古帆德今
9188,1637,1,清,斯矣德在
9189,1637,1,清,履雲德福
9190,1637,1,清,漚度德人
9191,1637,1,清,別岸德超
9192,1637,1,清,全濟德南
9193,1637,1,清,乾菴德悟
9194,1567,1,清,德因
9195,1567,1,清,大鑑德玹
9196,1567,1,清,德琦
9197,1567,1,清,超級
9198,1567,1,清,寂惺
9199,1567,1,清,德頂
9200,1567,1,清,德卓
9201,1652,1,清,常敏法睿
9202,1617,1,清,月憨權
9203,1617,1,清,千如一
9204,1604,1,清,廣惠荷
9205,1604,1,清,大歇定
9206,1604,1,清,古藥智
9207,1597,1,清,祖讓宗衡
9208,1603,1,清,匡瀑戒青
9209,1597,1,清,麈仙隆甡
9210,1597,1,清,禺峰現
9211,1597,2,清,象菴慧
9212,1603,1,清,樹可徹
9213,1585,1,清,翫輪月
9214,1585,1,清,大木慧
9215,1588,1,清,圓音鏞
9216,1601,1,清,宣玉瑄
9217,1630,1,明 清,佛日祖圓
9218,1601,1,清,海印祖涵
9219,1588,1,清,百靈然
9220,1588,1,清,靈峰惺
9221,1580,1,清,楚珍善
9222,1580,1,清,誼堂蘊
9223,1580,1,清,御堂光
9224,1580,1,清,道源禮
9225,1580,1,清,心舒性
9226,1580,1,清,行起提
9227,1580,1,清,金天翅
9228,1588,1,清,茲菴文
9229,1588,1,清,率菴性
9230,1588,1,清,兼菴達
9231,1599,1,清,逸庵新
9232,1599,1,清,鶴山志
9233,1599,1,清,德全
9234,1605,1,清,恭讓遜
9235,1605,1,清,眉白常
9236,1610,1,清,燕雷元鵬
9237,1610,1,清,頤西器
9238,1610,1,清,異目宗
9239,1610,1,清,異峰逈
9240,1610,1,清,雲白映
9241,1610,1,清,玉山元玢
9242,1610,1,清,潤堂證
9243,1628,1,清,鐵壑普
9244,1661,1,清,超然聞言
9245,1628,1,清,練飛開量
9246,1658,1,清,青雷開震
9247,1661,1,清,川迴開望
9248,1628,1,清,明巖照
9249,1628,1,清,指新溥
9250,1628,1,清,燈傳暉
9251,1628,1,清,自諾惺
9252,1628,1,清,崑潮發
9253,1628,1,清,楚傳寳
9254,1628,1,清,逸岸融
9255,1628,1,清,隱嵩顯
